NAP,CITY,BARANGAY,SUBDIVISION,STREET,LATITUDE,LONGITUDE
ANTFELPA71NP003,ANTIPOLO CITY,BGY CUPANG,,P. OLIVEROS ST,14.632952,121.124685
ANTFELPA71NP005,ANTIPOLO CITY,BGY CUPANG,,P. OLIVEROS ST,14.633358,121.125121
ANTFELPA71NP006,ANTIPOLO CITY,BGY CUPANG,,P. OLIVEROS ST,14.633358,121.125121
ANTFELPA74NP001,ANTIPOLO CITY,BGY CUPANG,,SULUCAN ST,14.633483,121.123816
ANTFELPA74NP003,ANTIPOLO CITY,BGY CUPANG,,SULUCAN ST,14.633669,121.123775
ANTFELPA74NP005,ANTIPOLO CITY,BGY CUPANG,,SULUCAN ST,14.633771,121.123578
ANTFELPA74NP007,ANTIPOLO CITY,BGY CUPANG,,SULUCAN ST,14.634049,121.123376
ANTFELPA75NP001,ANTIPOLO CITY,BGY CUPANG,,SULUCAN ST,14.634244,121.12326
ANTFELPA75NP005,ANTIPOLO CITY,BGY CUPANG,,SULUCAN ST,14.635373,121.122901
ANTFELPD08NP006,ANTIPOLO CITY,BGY CUPANG,,STREET 1,14.640197,121.132476
ANTFELPD09NP001,ANTIPOLO CITY,BGY CUPANG,,STREET 1,14.640208,121.132877
ANTFELPD09NP002,ANTIPOLO CITY,BGY CUPANG,,STREET 1,14.640208,121.132877
ANTFELPD09NP005,ANTIPOLO CITY,BGY CUPANG,,STREET 2,14.640834,121.132446
ANTFELPD09NP006,ANTIPOLO CITY,BGY CUPANG,,STREET 2,14.640834,121.132446
ANTFELPD10NP001,ANTIPOLO CITY,BGY CUPANG,,STREET 6,14.640973,121.131851
ANTFELPD10NP002,ANTIPOLO CITY,BGY CUPANG,,STREET 6,14.640973,121.131851
ANTFELPD10NP003,ANTIPOLO CITY,BGY CUPANG,,STREET 2,14.641386,121.132266
ANTFELPD10NP004,ANTIPOLO CITY,BGY CUPANG,,STREET 2,14.64153,121.132155
ANTFELPD11NP001,ANTIPOLO CITY,BGY CUPANG,,STREET 7,14.641858,121.131668
ANTFELPD11NP002,ANTIPOLO CITY,BGY CUPANG,,STREET 7,14.641858,121.131668
ANTFELPD11NP005,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.642461,121.131855
ANTFELPD11NP006,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.642461,121.131855
ANTFELPD12NP001,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.642682,121.131762
ANTFELPD12NP002,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.642765,121.131548
ANTFELPD12NP005,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.642986,121.131448
ANTFELPD12NP006,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.642986,121.131448
ANTFELPD13NP001,ANTIPOLO CITY,BGY CUPANG,,STREET 4,14.643583,121.131405
ANTFELPD13NP002,ANTIPOLO CITY,BGY CUPANG,,STREET 4,14.643583,121.131405
ANTFELPD13NP005,ANTIPOLO CITY,BGY CUPANG,,STREET 4,14.643566,121.131823
ANTFELPD13NP006,ANTIPOLO CITY,BGY CUPANG,,STREET 4,14.643566,121.131823
ANTFELPD14NP001,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.643549,121.130469
ANTFELPD14NP002,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.643549,121.130469
ANTFELPD14NP004,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.643448,121.129901
ANTFELPD14NP005,ANTIPOLO CITY,BGY CUPANG,,STREET 3,14.643448,121.129901
ANTFELPD15NP003,ANTIPOLO CITY,BGY CUPANG,,STREET 5,14.643203,121.129286
ANTFELPD15NP004,ANTIPOLO CITY,BGY CUPANG,,STREET 5,14.643241,121.128922
ANTFELPD15NP005,ANTIPOLO CITY,BGY CUPANG,,STREET 5,14.643241,121.128922
ANTFELPD15NP006,ANTIPOLO CITY,BGY CUPANG,,STREET 5,14.643241,121.128922
MRNFELP007NP007,ANTIPOLO CITY,BGY CUPANG,,PANORAMA ST,14.6392,121.11293
MRNFELP007NP008,ANTIPOLO CITY,BGY CUPANG,,PANORAMA ST,14.6389,121.1309
MRNFELP009NP003,ANTIPOLO CITY,BGY CUPANG,,PANORAMA ST,14.6387,121.1318
MRNFELP051NP006,ANTIPOLO CITY,BGY CUPANG,,PANORAMA ST,14.6391,121.1297
MRNFELP051NP007,ANTIPOLO CITY,BGY CUPANG,,PANORAMA ST,14.6387,121.1318
MRNFELP509NP007,ANTIPOLO CITY,BGY CUPANG,,PANORAMA ST,14.6392,121.11293
MRNFELP509NP008,ANTIPOLO CITY,BGY CUPANG,,PANORAMA ST,14.6391,121.13002
MRNFELP510NP001,ANTIPOLO CITY,BGY CUPANG,,PANORAMA ST,14.6389,121.1314
